Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
293,Kasparas Jakučionis,19,MIA,PG,48,11,846,11.6,.607,.656,.251,4.8,10.6,7.7,17.2,1.7,0.5,15.6,13.6,1.1,0.9,2.0,.113,-1.2,0.9,-0.3,0.4,,jakucka01
294,Clint Capela,31,HOU,C,67,2,835,17.6,.536,.000,.332,19.3,22.1,20.7,7.2,1.9,6.3,14.1,13.6,1.1,1.5,2.6,.150,-0.7,0.9,0.2,0.5,,capelca01
295,Goga Bitadze,26,ORL,C,56,3,835,20.1,.701,.058,.432,15.0,20.4,17.7,12.3,1.9,5.6,12.7,13.2,2.5,1.3,3.8,.218,0.8,2.0,2.8,1.0,,bitadgo01
296,Jamir Watkins,24,WAS,SG,43,5,835,11.4,.541,.520,.240,5.3,14.8,10.0,8.7,2.7,2.2,10.6,14.2,0.3,0.5,0.9,.050,-3.2,0.1,-3.2,-0.2,,watkija01
297,Ousmane Dieng,22,2TM,C,49,13,834,10.3,.536,.518,.076,2.9,13.8,8.4,14.6,1.2,1.8,13.8,17.6,-0.1,0.8,0.6,.036,-2.1,-0.6,-2.7,-0.1,,diengou01
297,Ousmane Dieng,22,OKC,C,27,0,295,10.1,.534,.538,.066,3.1,12.0,7.7,12.6,0.3,2.3,7.9,14.9,0.2,0.4,0.6,.098,-1.6,0.1,-1.4,0.0,,diengou01
297,Ousmane Dieng,22,MIL,C,22,13,539,10.4,.537,.508,.080,2.7,14.8,8.8,15.7,1.7,1.5,16.4,19.0,-0.3,0.3,0.0,.002,-2.3,-1.0,-3.3,-0.2,,diengou01
298,Josh Green,25,CHO,SG,51,0,833,10.1,.645,.751,.166,5.9,7.0,6.5,7.2,2.0,0.6,15.0,10.8,1.0,0.8,1.8,.102,-1.5,0.9,-0.6,0.3,,greenjo02
299,Vince Williams Jr.,25,2TM,SG,40,12,820,10.7,.478,.606,.171,5.1,15.5,10.2,27.5,1.7,1.8,18.2,19.5,-0.4,0.6,0.2,.014,-1.5,0.5,-1.0,0.2,,willivi01
299,Vince Williams Jr.,25,MEM,PG,34,12,736,10.8,.478,.602,.174,4.9,15.2,10.0,27.7,1.7,1.8,18.1,19.6,-0.3,0.6,0.3,.017,-1.5,0.6,-0.9,0.2,,willivi01
