Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
366,Jett Howard,22,ORL,SF,52,0,12.8,1.9,4.6,.414,1.0,2.7,.364,0.9,1.9,.485,.521,0.7,0.7,.944,0.4,1.2,1.6,0.8,0.2,0.2,0.3,1.2,5.4,,howarje01
367,Sion James,23,CHO,SG,75,19,22.6,1.7,4.4,.378,1.0,2.7,.369,0.6,1.6,.393,.494,1.1,1.3,.842,0.6,2.8,3.4,2.0,0.6,0.3,0.8,1.8,5.4,,jamessi01
368,Mitchell Robinson,27,NYK,C,56,15,19.6,2.4,3.3,.719,0.0,0.0,,2.4,3.3,.719,.719,0.7,1.7,.389,4.3,4.5,8.8,0.9,0.9,1.2,0.7,2.1,5.4,,robinmi01
369,Jalen Slawson,26,IND,SF,7,3,21.1,1.7,5.0,.343,0.9,2.9,.300,0.9,2.1,.400,.429,1.1,1.3,.889,0.6,3.3,3.9,2.4,1.3,1.1,0.7,2.1,5.4,,slawsja01
370,Blake Wesley,22,POR,SG,27,0,13.0,2.0,4.4,.458,0.4,1.3,.286,1.7,3.1,.529,.500,0.9,1.7,.556,0.3,1.1,1.4,2.3,0.6,0.2,1.1,1.2,5.4,,weslebl01
371,Guerschon Yabusele,30,2TM,C,62,14,14.2,1.8,4.3,.405,1.0,2.7,.367,0.8,1.6,.470,.520,0.7,1.0,.742,0.8,2.5,3.3,0.9,0.4,0.2,0.6,1.2,5.3,,yabusgu01
371,Guerschon Yabusele,30,NYK,C,41,0,8.9,1.0,2.6,.393,0.5,1.7,.294,0.5,1.0,.564,.486,0.2,0.3,.667,0.6,1.5,2.1,0.4,0.1,0.1,0.4,0.9,2.7,,yabusgu01
371,Guerschon Yabusele,30,CHI,C,21,14,24.6,3.2,7.7,.414,2.0,4.8,.416,1.2,2.9,.410,.543,1.8,2.4,.760,1.2,4.4,5.6,1.8,0.9,0.4,1.0,1.9,10.2,,yabusgu01
372,Jordan Walsh,21,BOS,PF,61,22,17.9,2.0,3.9,.513,0.7,1.8,.393,1.3,2.1,.612,.602,0.7,0.9,.755,1.3,2.8,4.1,0.8,0.7,0.5,0.5,2.1,5.3,,walshjo01
373,Kobe Brown,26,2TM,PF,55,4,14.3,1.8,4.0,.457,0.8,2.1,.365,1.1,1.9,.558,.553,0.8,0.9,.808,1.0,1.7,2.7,1.1,0.3,0.2,0.8,1.1,5.2,,brownko01
373,Kobe Brown,26,LAC,PF,34,0,8.7,1.0,2.5,.393,0.4,1.4,.265,0.6,1.0,.571,.470,0.6,0.8,.808,0.5,1.0,1.6,0.8,0.3,0.1,0.4,0.5,2.9,,brownko01
373,Kobe Brown,26,IND,PF,21,4,23.5,3.2,6.4,.496,1.4,3.1,.439,1.8,3.3,.551,.604,1.0,1.2,.808,1.7,2.7,4.4,1.5,0.5,0.5,1.3,2.1,8.8,,brownko01
374,KJ Simpson,23,2TM,PG,17,2,14.5,1.9,5.6,.344,0.7,2.3,.308,1.2,3.4,.368,.406,0.6,1.1,.611,0.5,1.5,2.0,2.5,0.9,0.0,1.4,0.9,5.2,,simpskj01
374,KJ Simpson,23,CHO,PG,14,2,15.9,2.2,6.4,.348,0.9,2.8,.308,1.4,3.6,.380,.416,0.7,1.1,.625,0.4,1.7,2.1,2.5,1.1,0.0,1.7,1.0,6.0,,simpskj01
374,KJ Simpson,23,DEN,PG,3,0,7.7,0.7,2.3,.286,0.0,0.0,,0.7,2.3,.286,.286,0.3,0.7,.500,1.0,0.7,1.7,2.7,0.3,0.0,0.0,0.3,1.7,,simpskj01
375,Drew Eubanks,28,SAC,C,42,11,13.1,2.2,3.7,.596,0.0,0.2,.143,2.2,3.5,.617,.599,0.8,1.4,.561,0.9,2.1,3.0,0.5,0.4,0.6,0.7,1.4,5.2,,eubandr01
376,Andersson Garcia,25,UTA,SF,5,2,33.8,1.8,5.8,.310,0.2,2.6,.077,1.6,3.2,.500,.328,1.4,1.8,.778,3.4,5.0,8.4,2.8,1.6,0.8,1.4,3.2,5.2,,garcian01
377,Garrison Mathews,29,IND,SG,15,1,13.1,1.4,3.5,.404,1.1,3.1,.370,0.3,0.4,.667,.567,1.3,1.5,.826,0.1,1.0,1.1,0.7,0.4,0.2,0.2,1.3,5.2,,mathega01
378,Dylan Cardwell,24,SAC,C,38,1,20.3,2.2,3.9,.568,0.0,0.0,.000,2.2,3.9,.571,.568,0.7,1.3,.531,3.2,4.3,7.5,1.4,0.7,1.3,0.8,3.4,5.1,,cardwdy01
379,Johnny Furphy,21,IND,SG,35,21,18.4,2.0,4.3,.470,0.7,2.0,.324,1.3,2.2,.603,.547,0.5,1.0,.486,0.9,3.5,4.4,1.2,0.6,0.2,0.8,1.9,5.1,,furphjo01
380,Ochai Agbaji,25,2TM,SG,60,13,15.8,2.0,4.5,.438,0.5,2.0,.262,1.4,2.4,.586,.498,0.6,0.7,.829,0.8,1.5,2.3,0.8,0.4,0.3,0.5,1.5,5.0,,agbajoc01
380,Ochai Agbaji,25,TOR,SG,42,13,15.5,1.7,4.0,.424,0.3,1.5,.185,1.4,2.5,.571,.459,0.6,0.7,.862,0.8,1.5,2.3,0.7,0.4,0.3,0.5,1.8,4.3,,agbajoc01
380,Ochai Agbaji,25,BRK,SG,18,0,16.4,2.5,5.4,.464,1.1,3.2,.351,1.4,2.2,.625,.567,0.5,0.7,.750,0.7,1.6,2.3,0.8,0.3,0.3,0.7,0.9,6.6,,agbajoc01
381,Asa Newell,20,ATL,PF,40,1,11.1,2.0,3.7,.537,0.7,1.7,.391,1.3,2.0,.663,.628,0.4,0.6,.560,0.9,1.1,2.0,0.5,0.4,0.3,0.5,1.6,5.0,,newelas01
382,Jalen Pickett,26,DEN,SG,46,18,16.1,1.9,4.5,.424,1.0,2.5,.386,0.9,2.0,.473,.532,0.3,0.3,.867,0.4,1.9,2.3,2.3,0.3,0.1,0.7,0.9,5.0,,pickeja02
383,Cormac Ryan,27,MIL,SG,4,0,10.0,1.5,3.8,.400,1.0,2.8,.364,0.5,1.0,.500,.533,1.0,1.3,.800,0.3,0.0,0.3,0.3,0.8,0.3,0.5,1.8,5.0,,ryanco01
384,Baylor Scheierman,25,BOS,SG,70,19,18.1,1.8,4.0,.447,1.1,2.9,.383,0.7,1.1,.618,.587,0.3,0.3,.864,0.8,2.7,3.5,1.4,0.5,0.1,0.6,1.3,5.0,,scheiba01
385,Ethan Thompson,26,IND,SG,25,7,17.1,1.8,4.9,.366,1.0,3.1,.312,0.8,1.8,.457,.463,0.5,0.7,.706,0.5,1.3,1.8,1.4,0.6,0.3,0.6,2.0,5.0,,thompet01
386,Adem Bona,22,PHI,C,65,14,17.4,1.8,3.1,.582,0.0,0.1,.333,1.8,3.0,.590,.587,1.1,1.6,.698,1.8,2.6,4.4,0.4,0.4,1.2,0.8,2.2,4.8,,bonaad01
387,Anthony Gill,33,WAS,PF,48,2,15.3,2.1,3.5,.605,0.2,0.8,.270,1.9,2.7,.700,.635,0.4,0.5,.731,1.0,1.7,2.7,1.1,0.6,0.4,0.7,1.5,4.8,,gillan01
388,Killian Hayes,24,SAC,PG,17,3,16.5,1.8,5.8,.306,0.7,2.6,.273,1.1,3.2,.333,.367,0.6,0.6,.909,0.1,2.2,2.4,3.5,0.5,0.2,1.2,1.6,4.8,,hayeski01
389,Bez Mbeng,22,UTA,SG,10,3,30.6,1.8,4.3,.419,0.3,1.7,.176,1.5,2.6,.577,.453,0.9,1.3,.692,1.3,2.3,3.6,3.5,1.8,0.4,1.5,3.6,4.8,,mbengbe01
390,Tyrese Proctor,21,CLE,PG,45,1,10.2,1.6,4.1,.398,0.8,2.5,.333,0.8,1.7,.493,.497,0.7,0.8,.882,0.2,0.8,1.0,1.2,0.4,0.0,0.6,1.2,4.8,,proctty01
391,Pete Nance,25,MIL,PF,41,3,14.1,1.9,3.6,.524,0.9,2.1,.432,1.0,1.4,.661,.653,0.0,0.1,.167,0.5,1.9,2.4,0.8,0.3,0.2,0.5,1.1,4.7,,nancepe01
392,Josh Okogie,27,HOU,SG,70,29,17.6,1.7,3.8,.431,0.8,2.1,.396,0.8,1.7,.475,.541,0.5,0.9,.574,1.0,1.5,2.5,0.8,0.8,0.2,0.5,1.4,4.7,,okogijo01
393,Lonzo Ball,28,CLE,PG,35,3,20.8,1.5,5.0,.301,1.1,4.2,.272,0.4,0.8,.448,.415,0.4,0.6,.667,0.7,3.3,4.0,3.9,1.3,0.3,1.5,1.3,4.6,,balllo01
394,Malaki Branham,22,WAS,SG,28,0,9.8,1.5,3.3,.473,0.5,1.3,.378,1.0,1.9,.537,.549,1.0,1.2,.824,0.4,1.1,1.6,0.8,0.4,0.1,0.5,0.8,4.6,,branhma01
395,Branden Carlson,26,OKC,C,37,2,10.3,1.9,3.6,.519,0.6,1.7,.339,1.3,2.0,.671,.596,0.2,0.5,.529,0.6,1.9,2.5,0.6,0.2,0.5,0.4,0.8,4.6,,carlsbr01
396,Josh Green,25,CHO,SG,51,0,16.3,1.5,3.3,.462,1.0,2.5,.417,0.5,0.8,.595,.618,0.5,0.5,.893,0.8,1.0,1.9,0.9,0.6,0.1,0.6,1.2,4.6,,greenjo02
397,Mouhamed Gueye,23,ATL,PF,72,8,15.5,1.8,3.8,.457,0.5,1.7,.314,1.2,2.2,.568,.525,0.5,0.8,.639,1.2,2.4,3.6,0.9,0.8,0.5,0.5,1.6,4.6,,gueyemo02
398,Jase Richardson,20,ORL,SG,49,0,11.4,1.7,3.6,.469,0.6,1.6,.359,1.1,2.0,.556,.548,0.6,0.8,.750,0.4,0.8,1.2,1.2,0.3,0.0,0.5,1.0,4.6,,richaja02
399,Jeremiah Robinson-Earl,25,2TM,PF,22,3,16.4,1.7,4.5,.370,0.5,1.9,.244,1.2,2.7,.458,.420,0.8,0.8,.944,1.6,3.0,4.7,0.7,0.4,0.0,0.5,1.2,4.6,,robinje02
399,Jeremiah Robinson-Earl,25,IND,PF,17,3,17.6,1.7,4.9,.349,0.5,1.9,.242,1.2,2.9,.420,.398,0.8,0.8,.929,1.9,3.3,5.2,0.7,0.4,0.1,0.6,1.4,4.6,,robinje02
399,Jeremiah Robinson-Earl,25,DAL,PF,5,0,12.2,1.6,3.4,.471,0.4,1.6,.250,1.2,1.8,.667,.529,0.8,0.8,1.000,0.8,2.2,3.0,0.6,0.4,0.0,0.4,0.6,4.4,,robinje02
400,PJ Hall,23,2TM,C,19,2,11.3,1.6,3.1,.508,0.2,0.3,.600,1.4,2.8,.500,.534,1.2,1.5,.793,1.7,2.2,3.9,0.5,0.2,0.5,0.8,1.2,4.5,,hallpj01
400,PJ Hall,23,MEM,C,7,0,3.9,0.7,1.3,.556,0.1,0.4,.333,0.6,0.9,.667,.611,0.3,0.4,.667,0.4,0.9,1.3,0.3,0.0,0.3,0.1,0.4,1.9,,hallpj01
400,PJ Hall,23,CHO,C,12,2,15.6,2.1,4.2,.500,0.2,0.2,1.000,1.9,4.0,.479,.520,1.8,2.2,.808,2.5,3.0,5.5,0.7,0.3,0.7,1.3,1.6,6.1,,hallpj01
